11,"defoe-robinson-103.txt	3.0",0.903089987
searching,"defoe-robinson-103.txt	6.0",1.806179974
shift,"defoe-robinson-103.txt	6.0",1.806179974
shirt,"defoe-robinson-103.txt	6.0",1.806179974
slaves,"defoe-robinson-103.txt	6.0",1.806179974
smaller,"defoe-robinson-103.txt	6.0",1.806179974
steered,"defoe-robinson-103.txt	6.0",1.806179974
storms,"defoe-robinson-103.txt	6.0",1.806179974
swear,"defoe-robinson-103.txt	6.0",1.806179974
swiftness,"defoe-robinson-103.txt	6.0",1.806179974
swords,"defoe-robinson-103.txt	6.0",1.806179974
takes,"defoe-robinson-103.txt	6.0",1.806179974
thunder,"defoe-robinson-103.txt	6.0",1.806179974
umbrella,"defoe-robinson-103.txt	6.0",1.806179974
weapon,"defoe-robinson-103.txt	6.0",1.806179974
yielded,"defoe-robinson-103.txt	6.0",1.806179974
20,"defoe-robinson-103.txt	5.0",1.505149978
22,"defoe-robinson-103.txt	5.0",1.505149978
ague,"defoe-robinson-103.txt	5.0",1.505149978
apartment,"defoe-robinson-103.txt	5.0",1.505149978
apply,"defoe-robinson-103.txt	5.0",1.505149978
apprehensive,"defoe-robinson-103.txt	5.0",1.505149978
benamuckee,"defoe-robinson-103.txt	5.0",1.505149978
bigger,"defoe-robinson-103.txt	5.0",1.505149978
cask,"defoe-robinson-103.txt	5.0",1.505149978
chains,"defoe-robinson-103.txt	5.0",1.505149978
commander,"defoe-robinson-103.txt	5.0",1.505149978
committed,"defoe-robinson-103.txt	5.0",1.505149978
cordial,"defoe-robinson-103.txt	5.0",1.505149978
dear,"defoe-robinson-103.txt	5.0",1.505149978
discoveries,"defoe-robinson-103.txt	5.0",1.505149978
doubting,"defoe-robinson-103.txt	5.0",1.505149978
enjoyed,"defoe-robinson-103.txt	5.0",1.505149978
europe,"defoe-robinson-103.txt	5.0",1.505149978
exposed,"defoe-robinson-103.txt	5.0",1.505149978
favor,"defoe-robinson-103.txt	5.0",1.505149978
grind,"defoe-robinson-103.txt	5.0",1.505149978
hammock,"defoe-robinson-103.txt	5.0",1.505149978
honesty,"defoe-robinson-103.txt	5.0",1.505149978
hostages,"defoe-robinson-103.txt	5.0",1.505149978
ignorant,"defoe-robinson-103.txt	5.0",1.505149978
jumping,"defoe-robinson-103.txt	5.0",1.505149978
kneeled,"defoe-robinson-103.txt	5.0",1.505149978
lain,"defoe-robinson-103.txt	5.0",1.505149978
language,"defoe-robinson-103.txt	5.0",1.505149978
limes,"defoe-robinson-103.txt	5.0",1.505149978
loading,"defoe-robinson-103.txt	5.0",1.505149978
loaves,"defoe-robinson-103.txt	5.0",1.505149978
longboat,"defoe-robinson-103.txt	5.0",1.505149978
mounted,"defoe-robinson-103.txt	5.0",1.505149978
murdered,"defoe-robinson-103.txt	5.0",1.505149978
national,"defoe-robinson-103.txt	5.0",1.505149978
opinion,"defoe-robinson-103.txt	5.0",1.505149978
overset,"defoe-robinson-103.txt	5.0",1.505149978
passions,"defoe-robinson-103.txt	5.0",1.505149978
pinioned,"defoe-robinson-103.txt	5.0",1.505149978
pity,"defoe-robinson-103.txt	5.0",1.505149978
preservation,"defoe-robinson-103.txt	5.0",1.505149978
pretend,"defoe-robinson-103.txt	5.0",1.505149978
prevailed,"defoe-robinson-103.txt	5.0",1.505149978
principal,"defoe-robinson-103.txt	5.0",1.505149978
providing,"defoe-robinson-103.txt	5.0",1.505149978
reasonable,"defoe-robinson-103.txt	5.0",1.505149978
renewed,"defoe-robinson-103.txt	5.0",1.505149978
residence,"defoe-robinson-103.txt	5.0",1.505149978
resolve,"defoe-robinson-103.txt	5.0",1.505149978
restored,"defoe-robinson-103.txt	5.0",1.505149978
rowing,"defoe-robinson-103.txt	5.0",1.505149978
sake,"defoe-robinson-103.txt	5.0",1.505149978
seafaring,"defoe-robinson-103.txt	5.0",1.505149978
sincerely,"defoe-robinson-103.txt	5.0",1.505149978
