badly,callwild	6.193293E-5,1.8643669463940177E-5
badness,defoe-robinson-103.txt	1.0,0.3010299956639812
bag,callwild	3.0966465E-5,0.0
bag,defoe-robinson-103.txt	13.0,0.0
baggage,defoe-robinson-103.txt	1.0,0.0
baggage,callwild	6.193293E-5,0.0
baggageman,callwild	3.0966465E-5,9.321834731970088E-6
baise,defoe-robinson-103.txt	1.0,0.3010299956639812
bait,defoe-robinson-103.txt	2.0,0.6020599913279624
baking,defoe-robinson-103.txt	3.0,0.9030899869919435
balance,defoe-robinson-103.txt	2.0,0.6020599913279624
balanced,defoe-robinson-103.txt	1.0,0.3010299956639812
bandage,defoe-robinson-103.txt	1.0,0.3010299956639812
bands,callwild	6.193293E-5,0.0
bands,defoe-robinson-103.txt	1.0,0.0
banished,defoe-robinson-103.txt	3.0,0.9030899869919435
bank,defoe-robinson-103.txt	4.0,0.0
bank,callwild	6.5029575E-4,0.0
banquet,defoe-robinson-103.txt	1.0,0.3010299956639812
barbarian,defoe-robinson-103.txt	1.0,0.3010299956639812
barbarities,defoe-robinson-103.txt	1.0,0.3010299956639812
barbarously,defoe-robinson-103.txt	1.0,0.3010299956639812
bare,defoe-robinson-103.txt	2.0,0.0
bare,callwild	3.0966465E-5,0.0
bargain,defoe-robinson-103.txt	1.0,0.3010299956639812
bark,callwild	1.2386586E-4,0.0
bark,defoe-robinson-103.txt	3.0,0.0
barking,callwild	3.0966465E-5,0.0
barking,defoe-robinson-103.txt	1.0,0.0
barns,defoe-robinson-103.txt	1.0,0.3010299956639812
barred,callwild	3.0966465E-5,0.0
barred,defoe-robinson-103.txt	1.0,0.0
barrel,defoe-robinson-103.txt	9.0,2.709269960975831
barren,defoe-robinson-103.txt	3.0,0.9030899869919435
bars,callwild	9.289939E-5,0.0
bars,defoe-robinson-103.txt	2.0,0.0
basis,callwild	3.0966465E-5,9.321834731970088E-6
basket,defoe-robinson-103.txt	13.0,3.9133899436317554
batches,callwild	3.0966465E-5,9.321834731970088E-6
bathe,defoe-robinson-103.txt	1.0,0.3010299956639812
bathed,callwild	3.0966465E-5,9.321834731970088E-6
battering,callwild	3.0966465E-5,9.321834731970088E-6
battle,callwild	1.2386586E-4,0.0
battle,defoe-robinson-103.txt	8.0,0.0
bay,callwild	1.2386586E-4,0.0
bay,defoe-robinson-103.txt	7.0,0.0
beachy,defoe-robinson-103.txt	1.0,0.3010299956639812
beams,defoe-robinson-103.txt	1.0,0.3010299956639812
bear,defoe-robinson-103.txt	52.0,0.0
bear,callwild	6.193293E-5,0.0
beard,defoe-robinson-103.txt	2.0,0.6020599913279624
bearing,callwild	6.193293E-5,0.0
bearing,defoe-robinson-103.txt	1.0,0.0
beasts,callwild	1.2386586E-4,0.0
beasts,defoe-robinson-103.txt	20.0,0.0
beat,defoe-robinson-103.txt	7.0,2.1072099696478683
beating,defoe-robinson-103.txt	3.0,0.0
beating,callwild	3.0966465E-5,0.0
because,callwild	8.051281E-4,0.0
because,defoe-robinson-103.txt	42.0,0.0
beckon,callwild	3.0966465E-5,9.321834731970088E-6
becomes,callwild	3.0966465E-5,9.321834731970088E-6
becoming,callwild	6.193293E-5,1.8643669463940177E-5
beds,defoe-robinson-103.txt	2.0,0.0
beds,callwild	3.0966465E-5,0.0
beef,defoe-robinson-103.txt	1.0,0.3010299956639812
been,defoe-robinson-103.txt	319.0,0.0
been,callwild	0.0016102561,0.0
beer,defoe-robinson-103.txt	2.0,0.6020599913279624
befall,defoe-robinson-103.txt	3.0,0.9030899869919435
befell,defoe-robinson-103.txt	1.0,0.3010299956639812
beforehand,defoe-robinson-103.txt	4.0,1.2041199826559248
beg,defoe-robinson-103.txt	1.0,0.3010299956639812
begged,callwild	3.0966465E-5,0.0
begged,defoe-robinson-103.txt	9.0,0.0
beginnings,callwild	3.0966465E-5,9.321834731970088E-6
behavior,defoe-robinson-103.txt	4.0,1.2041199826559248
behind,callwild	8.6706097E-4,0.0
behind,defoe-robinson-103.txt	33.0,0.0
behold,defoe-robinson-103.txt	1.0,0.3010299956639812
beind,defoe-robinson-103.txt	1.0,0.3010299956639812
believe,defoe-robinson-103.txt	47.0,14.148409796207117
believed,callwild	3.0966465E-5,0.0
believed,defoe-robinson-103.txt	14.0,0.0
bells,callwild	6.193293E-5,1.8643669463940177E-5
belly,defoe-robinson-103.txt	1.0,0.0
belly,callwild	6.193293E-5,0.0
bellying,callwild	3.0966465E-5,9.321834731970088E-6
belonged,callwild	6.193293E-5,0.0
belonged,defoe-robinson-103.txt	9.0,0.0
belongings,callwild	6.193293E-5,1.8643669463940177E-5
belongs,callwild	3.0966465E-5,9.321834731970088E-6
bemoaning,defoe-robinson-103.txt	1.0,0.3010299956639812
benamuckee,defoe-robinson-103.txt	5.0,1.505149978319906
bench,callwild	6.193293E-5,1.8643669463940177E-5
benches,callwild	3.0966465E-5,9.321834731970088E-6
bends,callwild	3.0966465E-5,9.321834731970088E-6
bennett,callwild	6.193293E-5,1.8643669463940177E-5
bernard,callwild	9.289939E-5,2.7965503100769518E-5
berry,callwild	6.193293E-5,1.8643669463940177E-5
beside,callwild	6.193293E-5,1.8643669463940177E-5
best,callwild	3.0966464E-4,0.0
best,defoe-robinson-103.txt	30.0,0.0
bestirred,defoe-robinson-103.txt	2.0,0.6020599913279624
bestow,defoe-robinson-103.txt	1.0,0.3010299956639812
bethought,defoe-robinson-103.txt	2.0,0.6020599913279624
betrayed,callwild	3.0966465E-5,9.321834731970088E-6
better,callwild	9.289939E-5,0.0
better,defoe-robinson-103.txt	42.0,0.0
between,defoe-robinson-103.txt	37.0,0.0
between,callwild	9.5996034E-4,0.0
bible,defoe-robinson-103.txt	6.0,1.806179973983887
bickering,callwild	3.0966465E-5,9.321834731970088E-6
bide,callwild	3.0966465E-5,9.321834731970088E-6
big,callwild	3.406311E-4,0.0
big,defoe-robinson-103.txt	21.0,0.0
bigger,defoe-robinson-103.txt	5.0,1.505149978319906
bills,defoe-robinson-103.txt	3.0,0.9030899869919435
birch,callwild	6.193293E-5,1.8643669463940177E-5
birds,callwild	9.289939E-5,0.0
birds,defoe-robinson-103.txt	1.0,0.0
bite,callwild	1.2386586E-4,3.7287338927880353E-5
bits,defoe-robinson-103.txt	3.0,0.9030899869919435
bitten,callwild	3.0966465E-5,9.321834731970088E-6
bitter,defoe-robinson-103.txt	2.0,0.0
bitter,callwild	1.5483232E-4,0.0
bitterest,defoe-robinson-103.txt	1.0,0.3010299956639812
blade,defoe-robinson-103.txt	2.0,0.0
blade,callwild	6.193293E-5,0.0
blankets,defoe-robinson-103.txt	1.0,0.0
blankets,callwild	1.5483232E-4,0.0
blast,defoe-robinson-103.txt	2.0,0.6020599913279624
blaze,callwild	3.0966465E-5,9.321834731970088E-6
blazed,defoe-robinson-103.txt	2.0,0.0
blazed,callwild	3.0966465E-5,0.0
bleating,defoe-robinson-103.txt	1.0,0.3010299956639812
bleeding,callwild	6.193293E-5,0.0
bleeding,defoe-robinson-103.txt	1.0,0.0
blessed,defoe-robinson-103.txt	7.0,2.1072099696478683
blessings,defoe-robinson-103.txt	2.0,0.6020599913279624
